Label, Index, nr_pix, rows_with_1, cols_with_1, rows_with_3p, cols_with_3p, aspect_ratio, neigh_1, no_neigh_above, no_neigh_below, no_neigh_left, no_neigh_right, no_neigh_horiz, no_neigh_vert, connected_areas, custom
j,05,18,11,6,3,1,0.384615384615385,1,4,4,9,10,9,3,2,0,0
j,06,16,12,4,1,1,0.25,1,3,5,12,12,12,3,2,0,0
j,07,17,13,4,1,1,0.230769230769231,1,3,5,13,13,13,3,2,0,0
j,08,20,12,6,2,1,0.384615384615385,1,4,4,11,11,11,2,2,0,0
sad,01,31,11,15,3,3,1.16666666666667,6,14,12,12,12,12,9,4,0,0
sad,02,45,12,15,9,5,1.07692307692308,2,15,14,16,15,5,9,4,0,0
sad,03,36,12,16,5,3,1.15384615384615,6,13,11,14,14,14,8,4,0,0
sad,04,47,12,15,9,8,1.07692307692308,1,15,15,16,16,4,9,4,0,0
sad,05,30,10,13,4,5,1.09090909090909,7,13,12,15,14,14,9,4,0,0
sad,06,34,12,15,5,5,1.07692307692308,7,14,13,14,15,13,9,4,0,0
sad,07,35,10,13,5,8,1.2,2,15,13,11,11,4,7,4,0,0
sad,08,42,10,14,8,6,1.18181818181818,0,15,14,13,12,1,8,4,0,0
sad,09,43,13,16,7,5,1.07142857142857,2,17,15,15,15,7,10,4,0,0
sad,10,32,12,14,4,4,1,7,12,11,15,14,15,9,4,0,0
sad,11,37,13,17,5,3,1.14285714285714,6,14,12,16,15,15,12,4,0,0
sad,12,37,13,15,4,6,1,4,14,13,13,14,9,10,4,0,0
sad,13,44,13,15,9,6,1.07692307692308,2,14,13,16,15,7,8,4,0,0
sad,14,36,10,12,7,5,1,2,12,12,12,12,3,7,4,0,0
sad,15,36,11,14,5,4,1.08333333333333,4,13,12,14,13,9,8,4,0,0
sad,16,36,11,13,6,7,1,4,14,12,13,13,7,7,4,0,0
sad,17,44,13,16,8,6,1.07142857142857,3,16,14,16,15,7,11,4,1,0
sad,18,37,12,15,6,4,1.16666666666667,6,11,11,15,15,15,6,4,0,0
sad,19,39,11,13,8,5,1,2,13,12,14,13,5,7,4,0,0
sad,20,39,14,15,6,3,1,6,12,10,18,18,18,9,4,1,0
smiley,01,26,8,14,5,2,1.3,0,9,10,5,6,5,9,4,0,0
smiley,02,26,8,16,3,3,1.66666666666667,6,14,14,7,7,6,12,4,0,0
smiley,03,29,9,15,3,3,1.55555555555556,6,12,14,10,10,10,9,4,0,0
smiley,04,38,13,17,5,4,1.23076923076923,7,12,14,15,15,15,9,4,0,0
smiley,05,26,7,16,4,1,1.36363636363636,0,13,15,6,6,6,13,4,0,0
smiley,06,27,9,14,3,4,1.3,6,12,14,10,10,10,9,4,0,0
smiley,07,33,10,16,4,5,1.5,4,14,14,10,10,7,10,4,0,0
smiley,08,36,13,15,4,5,1,8,13,15,18,18,18,10,4,0,0
smiley,09,33,11,14,5,4,1.18181818181818,7,10,12,14,14,14,7,4,0,0
smiley,10,56,12,16,9,10,1.36363636363636,2,17,16,17,18,9,5,4,0,0
smiley,11,35,9,15,7,8,1.55555555555556,4,13,15,11,11,7,8,4,0,0
smiley,12,46,11,17,9,7,1.45454545454545,0,17,17,15,15,4,13,4,0,0
smiley,13,34,12,14,7,4,1.18181818181818,6,9,10,15,14,14,7,4,0,0
smiley,14,41,12,15,7,5,1.27272727272727,5,11,13,16,16,12,7,4,0,0
smiley,15,51,13,16,8,9,1.25,1,16,18,18,18,5,10,4,0,0
smiley,16,38,12,16,6,5,1.36363636363636,6,13,14,18,17,17,10,4,0,0
smiley,17,37,12,13,6,6,1,5,10,12,15,15,11,6,4,0,0
smiley,18,35,10,15,5,6,1.4,5,13,15,13,13,10,9,4,0,0
smiley,19,40,14,15,6,6,1.07692307692308,4,12,11,16,17,13,9,4,0,0
smiley,20,41,14,15,4,6,1.07692307692308,6,13,14,19,20,17,10,4,0,0
xclaim,01,24,12,2,0,2,0.0833333333333333,0,4,4,12,12,0,0,2,0,0
xclaim,02,11,11,1,0,1,0,2,2,2,11,11,11,1,2,0,0
xclaim,03,11,11,1,0,1,0,2,2,2,11,11,11,1,2,0,0
xclaim,04,24,12,2,0,2,0.0833333333333333,0,4,4,12,12,0,0,2,0,0
xclaim,05,30,15,2,0,2,0.0666666666666667,0,4,4,15,15,0,2,2,0,0
xclaim,06,28,14,2,0,2,0.0666666666666667,0,4,4,14,14,0,0,2,0,0
xclaim,07,45,15,3,15,3,0.125,0,6,6,15,15,0,3,2,0,0
xclaim,08,11,11,1,0,1,0,2,2,2,11,11,11,1,2,0,0
xclaim,09,22,11,2,0,2,0.0909090909090909,0,4,4,11,11,0,0,2,0,0
xclaim,10,10,10,1,0,1,0,2,2,2,10,10,10,1,2,0,0
xclaim,11,22,11,2,0,2,0.0909090909090909,0,4,4,11,11,0,0,2,0,0
xclaim,12,9,9,1,0,1,0,2,2,2,9,9,9,1,2,0,0
xclaim,13,9,9,1,0,1,0,2,2,2,9,9,9,1,2,0,0
xclaim,14,12,12,1,0,1,0,2,2,2,12,12,12,1,2,0,0
xclaim,15,26,13,2,0,2,0.0769230769230769,0,4,4,13,13,0,0,2,0,0
xclaim,16,11,11,1,0,1,0,2,2,2,11,11,11,1,2,0,0
xclaim,17,22,11,2,0,2,0.0909090909090909,0,4,4,11,11,0,0,2,0,0
xclaim,18,30,15,2,0,2,0.0666666666666667,0,4,4,15,15,0,0,2,0,0
xclaim,19,24,12,2,0,2,0.0833333333333333,0,4,4,12,12,0,0,2,0,0
xclaim,20,13,13,1,0,1,0,2,2,2,13,13,13,1,2,0,0
